,Year,Round,Seed 1,Seed 2,Team 1,Team 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,3P 1,3P 2,Score 1,Score 2,Winner
0,2024,First Four,16,16,Howard,Wagner,75.1,63.5,74.4,62.1,52.9,51.6,37.4,32.2,68,71,Wagner
1,2024,First Four,10,10,Virginia,Colorado State,63.6,76.4,59.5,68.4,69.7,70.6,36.3,39.4,42,67,Colorado State
2,2024,First Four,16,16,Montana State,Grambling,75.1,67.6,74.1,69,50,58.8,36.7,33.9,,,
3,2024,First Four,10,10,Boise State,Colorado,75.8,79.3,67.5,71.2,68.8,70.6,34.5,39.4,,,
4,2024,R1,1,16,UConn,Stetson,81.5,77.5,64.4,72.8,91.2,64.7,36.7,37,,,
5,2024,R1,8,9,Florida Atlantic,Northwestern,82.5,73.7,73.3,69,75.8,65.6,35.6,39.4,,,
6,2024,R1,5,12,San Diego State,UAB,74.6,77.8,66.6,75.2,70.6,67.6,31.3,32.6,,,
7,2024,R1,4,13,Auburn,Yale,83.3,75.2,68,66.6,79.4,71,35.2,34.7,,,
8,2024,R1,6,11,BYU,Duquesne,81.8,70.8,69.9,66,69.7,68.6,34.8,34,,,
9,2024,R1,3,14,Illinois,Morehead State,84.4,75.5,73.8,62.8,76.5,76.5,35,36.1,,,
10,2024,R1,7,10,Washington State,Drake,74.3,80.5,66.9,70.5,72.7,82.3,34,36.7,,,
11,2024,R1,2,15,Iowa State,South Dakota State,75.6,76.8,61.3,70.8,79.4,64.7,34.9,36.3,,,
12,2024,R1,1,16,North Carolina,Wagner,81.5,63.5,70.2,62.1,79.4,51.6,35.4,32.2,,,
13,2024,R1,8,9,Mississippi State,Michigan State,74.8,73.1,69.1,65.9,61.8,57.6,32.5,35.9,,,
14,2024,R1,5,12,Saint Mary’s,Grand Canyon,74.2,79.8,58.7,66.9,78.8,87.9,35.5,34.4,,,
15,2024,R1,4,13,Alabama,Charleston,90.8,80.5,81.1,72.5,65.6,79.4,36.5,34.5,,,
16,2024,R1,6,11,Clemson,New Mexico,77.4,81.7,71.3,70.5,65.6,74.3,35.4,33.4,,,
17,2024,R1,3,14,Baylor,Colgate,80.5,71.5,71.2,63.2,69.7,73.5,38.8,36.1,,,
18,2024,R1,7,10,Dayton,Nevada,74.7,76.4,66.3,67.1,77.4,78.8,40.2,36.5,,,
19,2024,R1,2,15,Arizona,Long Beach State,87.9,77.7,72.2,75.7,75.8,60,37.1,30.8,,,
20,2024,R1,1,16,Houston,Longwood,73,75.6,57,67.9,88.2,61.8,34.7,34.3,,,
21,2024,R1,8,9,Nebraska,Texas A&M,77.6,74.8,70.1,70.8,69.7,58.8,35.8,28.4,,,
22,2024,R1,5,12,Wisconsin,James Madison,75.1,84.4,69.9,69.2,62.9,91.2,34.8,36.5,,,
23,2024,R1,4,13,Duke,Vermont,79.8,72.3,67.4,63,75,82.4,37.7,34.4,,,
24,2024,R1,6,11,Texas Tech,NC State,75.6,76.4,69.3,72.7,69.7,61.1,36.5,34.7,,,
25,2024,R1,3,14,Kentucky,Oakland,89.4,76.4,79.7,72.9,71.9,67.6,41.2,35.1,,,
26,2024,R1,7,10,Florida,,85.1,,78.5,,68.6,,34.2,,,,
27,2024,R1,2,15,Marquette,Western Kentucky,78.3,80.6,69.7,74.1,73.5,66.7,35.8,34,,,
28,2024,R1,1,16,Purdue,,83.4,,70.1,,87.9,,40.8,,,,
29,2024,R1,8,9,Utah State,TCU,79.8,79.2,70.3,71.2,81.8,63.6,33.1,35.6,,,
30,2024,R1,5,12,Gonzaga,McNeese,84.9,80.4,69,61.5,78.1,90.9,35.4,38.8,,,
31,2024,R1,4,13,Kansas,Samford,75.2,86,68.7,73.9,68.8,85.3,32.9,39.3,,,
32,2024,R1,6,11,South Carolina,Oregon,72,75.3,67,71.9,78.8,67.6,33.5,33.6,,,
33,2024,R1,3,14,Creighton,Akron,80.5,74,69.7,65.9,71.9,70.6,36.1,32.8,,,
34,2024,R1,7,10,Texas,Colorado State,76.5,76.4,69.9,68.4,62.5,70.6,36.2,39.4,,,
35,2024,R1,2,15,Tennessee,Saint Peter’s,79.5,65.3,67.9,63.4,75,59.4,34.2,33.2,,,
36,2024,R2,,,,,,,,,,,,,,,
37,2024,R2,,,,,,,,,,,,,,,
38,2024,R2,,,,,,,,,,,,,,,
39,2024,R2,,,,,,,,,,,,,,,
40,2024,R2,,,,,,,,,,,,,,,
41,2024,R2,,,,,,,,,,,,,,,
42,2024,R2,,,,,,,,,,,,,,,
43,2024,R2,,,,,,,,,,,,,,,
44,2024,R2,,,,,,,,,,,,,,,
45,2024,R2,,,,,,,,,,,,,,,
46,2024,R2,,,,,,,,,,,,,,,
47,2024,R2,,,,,,,,,,,,,,,
48,2024,R2,,,,,,,,,,,,,,,
49,2024,R2,,,,,,,,,,,,,,,
50,2024,R2,,,,,,,,,,,,,,,
51,2024,R2,,,,,,,,,,,,,,,
52,2024,Sweet 16,,,,,,,,,,,,,,,
53,2024,Sweet 16,,,,,,,,,,,,,,,
54,2024,Sweet 16,,,,,,,,,,,,,,,
55,2024,Sweet 16,,,,,,,,,,,,,,,
56,2024,Sweet 16,,,,,,,,,,,,,,,
57,2024,Sweet 16,,,,,,,,,,,,,,,
58,2024,Sweet 16,,,,,,,,,,,,,,,
59,2024,Sweet 16,,,,,,,,,,,,,,,
60,2024,Elite 8,,,,,,,,,,,,,,,
61,2024,Elite 8,,,,,,,,,,,,,,,
62,2024,Elite 8,,,,,,,,,,,,,,,
63,2024,Elite 8,,,,,,,,,,,,,,,
64,2024,Final 4,,,,,,,,,,,,,,,
65,2024,Final 4,,,,,,,,,,,,,,,
66,2024,Championship,,,,,,,,,,,,,,,