,Year,Round,Seed 1,Seed 2,Team 1,Team 2,Offense 1,Offense 2,Defense 1,Defense 2,Win Pct 1,Win Pct 2,Score 1,Score 2,Winner
0,2023,First Four,16,16,Texas A&M-CC,SE Missouri State,80.4,77.7,72.5,76.0,69.7,54.3,75,71,Texas A&M-CC
1,2023,First Four,11,11,Mississippi State,Pittsburgh,65.9,76.1,61.0,70.5,63.6,66.7,59,60,Pittsburgh
2,2023,First Four,16,16,Texas Southern,Fairleigh Dickinson,69.4,77.8,71.6,74.9,41.2,55.9,,,
3,2023,First Four,11,11,Arizona State,Nevada,70.3,72.6,67.7,66.9,64.7,68.8,,,
4,2023,R1,1,16,Alabama,Texas A&M-CC,82.2,80.4,68.5,72.5,85.3,69.7,,,
5,2023,R1,8,9,Maryland,West Virginia,70.4,76.3,63.2,71.0,63.6,57.6,,,
6,2023,R1,5,12,San Diego State,Charleston,72.1,80.8,63.6,67.4,81.8,91.2,,,
7,2023,R1,4,13,Virginia,Furman,67.8,82.1,60.2,71.2,78.1,79.4,,,
8,2023,R1,6,11,Creighton,NC State,76.6,78.2,68.5,70.8,63.6,69.7,,,
9,2023,R1,3,14,Baylor,UCSB,77.2,72.2,70.2,65.6,68.8,79.4,,,
10,2023,R1,7,10,Missouri,Utah State,79.5,78.6,74.6,69.7,72.7,76.5,,,
11,2023,R1,2,15,Arizona,Princeton,82.7,76,71.5,68.6,82.4,72.4,,,
12,2023,R1,1,16,Purdue,,73.1,,62.7,,85.3,,,,
13,2023,R1,8,9,Memphis,Florida Atlantic,79.8,78.8,71.9,65,76.5,91.2,,,
14,2023,R1,5,12,Duke,Oral Roberts,72.5,84.2,63.9,70.1,76.5,88.2,,,
15,2023,R1,4,13,Tennessee,Louisiana,71.8,78,58.0,69.8,69.7,78.8,,,
16,2023,R1,6,11,Kentucky,Providence,75.1,78.1,68,71.3,65.6,65.6,,,
17,2023,R1,3,14,Kansas State,Montana State,75.5,74.2,69,66.6,71.9,73.5,,,
18,2023,R1,7,10,Michigan State,USC,70.2,72.7,67.4,67.2,61.3,68.8,,,
19,2023,R1,2,15,Marquette,Vermont,79.9,73,70.6,66.6,82.4,69.7,,,
20,2023,R1,1,16,Houston,Northern Kentucky,75,68.2,56.5,63.6,91.2,64.7,,,
21,2023,R1,8,9,Iowa,Auburn,80.2,72.7,74.4,67.1,59.4,62.5,,,
22,2023,R1,5,12,Miami (FL),Drake,79.4,75.3,72.1,63.9,78.1,79.4,,,
23,2023,R1,4,13,Indiana,Kent State,75,76.6,68.5,65.7,66.7,82.4,,,
24,2023,R1,6,11,Iowa State,Pittsburgh,68.4,76.1,62.8,70.5,59.4,66.7,,,
25,2023,R1,3,14,Xavier,Kennesaw State,81.4,75.3,74.1,68.9,73.5,76.5,,,
26,2023,R1,7,10,Texas A&M,Penn State,73.2,72.3,66.2,68.4,73.5,62.9,,,
27,2023,R1,2,15,Texas,Colgate,77.9,78.6,67.4,69,76.5,76.5,,,
28,2023,R1,1,16,Kansas,Howard,74.9,75.5,67.9,71.9,79.4,64.7,,,
29,2023,R1,8,9,Arkansas,Illinois,74.4,74.7,67.4,67,60.6,62.5,,,
30,2023,R1,5,12,Saint Maryâ€™s,VCU,71.4,71.4,60.1,62.9,78.8,79.4,,,
31,2023,R1,4,13,UConn,Iona,78.5,76.3,65,65,75.8,79.4,,,
32,2023,R1,6,11,TCU,,75.2,,67.9,,63.6,,,,
33,2023,R1,3,14,Gonzaga,Grand Canyon,87.5,75.3,72.9,66.8,84.8,68.6,,,
34,2023,R1,7,10,Northwestern,Boise State,67.7,72.2,62.5,64.3,65.6,72.7,,,
35,2023,R1,2,15,UCLA,UNC Asheville,73.9,75,60.3,68.6,85.3,79.4,,,
36,2023,R2,,,,,,,,,,,,,
37,2023,R2,,,,,,,,,,,,,
38,2023,R2,,,,,,,,,,,,,
39,2023,R2,,,,,,,,,,,,,
40,2023,R2,,,,,,,,,,,,,
41,2023,R2,,,,,,,,,,,,,
42,2023,R2,,,,,,,,,,,,,
43,2023,R2,,,,,,,,,,,,,
44,2023,R2,,,,,,,,,,,,,
45,2023,R2,,,,,,,,,,,,,
46,2023,R2,,,,,,,,,,,,,
47,2023,R2,,,,,,,,,,,,,
48,2023,R2,,,,,,,,,,,,,
49,2023,R2,,,,,,,,,,,,,
50,2023,R2,,,,,,,,,,,,,
51,2023,R2,,,,,,,,,,,,,
52,2023,Sweet 16,,,,,,,,,,,,,
53,2023,Sweet 16,,,,,,,,,,,,,
54,2023,Sweet 16,,,,,,,,,,,,,
55,2023,Sweet 16,,,,,,,,,,,,,
56,2023,Sweet 16,,,,,,,,,,,,,
57,2023,Sweet 16,,,,,,,,,,,,,
58,2023,Sweet 16,,,,,,,,,,,,,
59,2023,Sweet 16,,,,,,,,,,,,,
60,2023,Elite 8,,,,,,,,,,,,,
61,2023,Elite 8,,,,,,,,,,,,,
62,2023,Elite 8,,,,,,,,,,,,,
63,2023,Elite 8,,,,,,,,,,,,,
64,2023,Final 4,,,,,,,,,,,,,
65,2023,Final 4,,,,,,,,,,,,,
66,2023,Championship,,,,,,,,,,,,,